Month,L,M,S,P3,P15,P50,P85,P97
0,1,49.8842,0.03795,46.3,47.9,49.9,51.8,53.4
1,1,54.7244,0.03557,51.1,52.7,54.7,56.7,58.4
2,1,58.4249,0.03424,54.7,56.4,58.4,60.5,62.2
3,1,61.4292,0.03328,57.6,59.3,61.4,63.5,65.3
4,1,63.886,0.03257,60,61.7,63.9,66,67.8
5,1,65.9026,0.03204,61.9,63.7,65.9,68.1,69.9
6,1,67.6236,0.03165,63.6,65.4,67.6,69.8,71.6
7,1,69.1645,0.03139,65.1,66.9,69.2,71.4,73.2
8,1,70.5994,0.03124,66.5,68.3,70.6,72.9,74.7
9,1,71.9687,0.03117,67.7,69.6,72,74.3,76.2
10,1,73.2812,0.03118,69,70.9,73.3,75.6,77.6
11,1,74.5388,0.03125,70.2,72.1,74.5,77,78.9
12,1,75.7488,0.03137,71.3,73.3,75.7,78.2,80.2
13,1,76.9186,0.03154,72.4,74.4,76.9,79.4,81.5
14,1,78.0497,0.03174,73.4,75.5,78,80.6,82.7
15,1,79.1458,0.03197,74.4,76.5,79.1,81.8,83.9
16,1,80.2113,0.03222,75.4,77.5,80.2,82.9,85.1
17,1,81.2487,0.0325,76.3,78.5,81.2,84,86.2
18,1,82.2587,0.03279,77.2,79.5,82.3,85.1,87.3
19,1,83.2418,0.0331,78.1,80.4,83.2,86.1,88.4
20,1,84.1996,0.03342,78.9,81.3,84.2,87.1,89.5
21,1,85.1348,0.03376,79.7,82.2,85.1,88.1,90.5
22,1,86.0477,0.0341,80.5,83,86,89.1,91.6
23,1,86.941,0.03445,81.3,83.8,86.9,90,92.6
24,1,87.8161,0.03479,82.1,84.6,87.8,91,93.6
