Length,L,M,S,P3,P15,P50,P85,P97
45,-3.521,2.441,9.182,2.1,2.2,2.4,2.7,2.9
45.5,-3.521,2.5244,9.153,2.1,2.3,2.5,2.8,3
46,-3.521,2.6077,9.124,2.2,2.4,2.6,2.9,3.1
46.5,-3.521,2.6913,9.094,2.3,2.5,2.7,3,3.2
47,-3.521,2.7755,9.065,2.4,2.5,2.8,3.1,3.3
47.5,-3.521,2.8609,9.036,2.4,2.6,2.9,3.1,3.4
48,-3.521,2.948,9.007,2.5,2.7,2.9,3.2,3.5
48.5,-3.521,3.0377,8.977,2.6,2.8,3,3.3,3.6
49,-3.521,3.1308,8.948,2.7,2.9,3.1,3.4,3.7
49.5,-3.521,3.2276,8.919,2.7,2.9,3.2,3.5,3.8
50,-3.521,3.3278,889,2.8,3,3.3,3.7,4
50.5,-3.521,3.4311,8.861,2.9,3.1,3.4,3.8,4.1
51,-3.521,3.5376,8.831,3,3.2,3.5,3.9,4.2
51.5,-3.521,3.6477,8.801,3.1,3.3,3.6,4,4.3
52,-3.521,3.762,8.771,3.2,3.4,3.8,4.1,4.5
52.5,-3.521,3.8814,8.741,3.3,3.6,3.9,4.3,4.6
53,-3.521,4.006,8.711,3.4,3.7,4,4.4,4.7
53.5,-3.521,4.1354,8.681,3.5,3.8,4.1,4.5,4.9
54,-3.521,4.2693,8.651,3.6,3.9,4.3,4.7,5
54.5,-3.521,4.4066,8.621,3.8,4,4.4,4.8,5.2
55,-3.521,4.5467,8.592,3.9,4.2,4.5,5,5.4
55.5,-3.521,4.6892,8.563,4,4.3,4.7,5.1,5.5
56,-3.521,4.8338,8.535,4.1,4.4,4.8,5.3,5.7
56.5,-3.521,4.9796,8.507,4.3,4.6,5,5.4,5.9
57,-3.521,5.1259,8.481,4.4,4.7,5.1,5.6,6
57.5,-3.521,5.2721,8.455,4.5,4.8,5.3,5.8,6.2
58,-3.521,5.418,843,4.6,5,5.4,5.9,6.4
58.5,-3.521,5.5632,8.406,4.8,5.1,5.6,6.1,6.5
59,-3.521,5.7074,8.383,4.9,5.2,5.7,6.2,6.7
59.5,-3.521,5.8501,8.362,5,5.4,5.9,6.4,6.9
60,-3.521,5.9907,8.342,5.1,5.5,6,6.5,7
60.5,-3.521,6.1284,8.324,5.3,5.6,6.1,6.7,7.2
61,-3.521,6.2632,8.308,5.4,5.8,6.3,6.8,7.4
61.5,-3.521,6.3954,8.292,5.5,5.9,6.4,7,7.5
62,-3.521,6.5251,8.279,5.6,6,6.5,7.1,7.7
62.5,-3.521,6.6527,8.266,5.7,6.1,6.7,7.3,7.8
63,-3.521,6.7786,8.255,5.8,6.2,6.8,7.4,8
63.5,-3.521,6.9028,8.245,5.9,6.3,6.9,7.5,8.1
64,-3.521,7.0255,8.236,6,6.5,7,7.7,8.2
64.5,-3.521,7.1467,8.229,6.1,6.6,7.1,7.8,8.4
65,-3.521,7.2666,8.223,6.3,6.7,7.3,7.9,8.5
65.5,-3.521,7.3854,8.218,6.4,6.8,7.4,8.1,8.7
66,-3.521,7.5034,8.215,6.5,6.9,7.5,8.2,8.8
66.5,-3.521,7.6206,8.213,6.6,7,7.6,8.3,8.9
67,-3.521,7.737,8.212,6.7,7.1,7.7,8.4,9.1
67.5,-3.521,7.8526,8.212,6.8,7.2,7.9,8.6,9.2
68,-3.521,7.9674,8.214,6.9,7.3,8,8.7,9.3
68.5,-3.521,8.0816,8.216,7,7.4,8.1,8.8,9.5
69,-3.521,8.1955,8.219,7.1,7.5,8.2,8.9,9.6
69.5,-3.521,8.3092,8.224,7.1,7.6,8.3,9.1,9.7
70,-3.521,8.4227,8.229,7.2,7.7,8.4,9.2,9.9
70.5,-3.521,8.5358,8.235,7.3,7.8,8.5,9.3,10
71,-3.521,8.648,8.241,7.4,8,8.6,9.4,10.1
71.5,-3.521,8.7594,8.248,7.5,8.1,8.8,9.6,10.3
72,-3.521,8.8697,8.254,7.6,8.2,8.9,9.7,10.4
72.5,-3.521,8.9788,8.262,7.7,8.3,9,9.8,10.5
73,-3.521,9.0865,8.269,7.8,8.4,9.1,9.9,10.7
73.5,-3.521,9.1927,8.276,7.9,8.4,9.2,10,10.8
74,-3.521,9.2974,8.283,8,8.5,9.3,10.1,10.9
74.5,-3.521,9.401,8.289,8.1,8.6,9.4,10.3,11
75,-3.521,9.5032,8.295,8.2,8.7,9.5,10.4,11.2
75.5,-3.521,9.6041,8.301,8.2,8.8,9.6,10.5,11.3
76,-3.521,9.7033,8.307,8.3,8.9,9.7,10.6,11.4
76.5,-3.521,9.8007,8.311,8.4,9,9.8,10.7,11.5
77,-3.521,9.8963,8.314,8.5,9.1,9.9,10.8,11.6
77.5,-3.521,9.9902,8.317,8.6,9.2,10,10.9,11.7
78,-3.521,10.0827,8.318,8.7,9.3,10.1,11,11.8
78.5,-3.521,10.1741,8.318,8.7,9.3,10.2,11.1,12
79,-3.521,10.2649,8.316,8.8,9.4,10.3,11.2,12.1
79.5,-3.521,10.3558,8.313,8.9,9.5,10.4,11.3,12.2
80,-3.521,10.4475,8.308,9,9.6,10.4,11.4,12.3
80.5,-3.521,10.5405,8.301,9.1,9.7,10.5,11.5,12.4
81,-3.521,10.6352,8.293,9.1,9.8,10.6,11.6,12.5
81.5,-3.521,10.7322,8.284,9.2,9.9,10.7,11.7,12.6
82,-3.521,10.8321,8.273,9.3,10,10.8,11.8,12.7
82.5,-3.521,10.935,826,9.4,10.1,10.9,11.9,12.8
83,-3.521,11.0415,8.246,9.5,10.1,11,12,13
83.5,-3.521,11.1516,8.231,9.6,10.3,11.2,12.2,13.1
84,-3.521,11.2651,8.215,9.7,10.4,11.3,12.3,13.2
84.5,-3.521,11.3817,8.198,9.8,10.5,11.4,12.4,13.3
85,-3.521,11.5007,8.181,9.9,10.6,11.5,12.5,13.5
85.5,-3.521,11.6218,8.163,10,10.7,11.6,12.7,13.6
86,-3.521,11.7444,8.145,10.1,10.8,11.7,12.8,13.7
