Month,L,M,S,P3,P15,P50,P85,P97
0,0.3809,3.2322,0.14171,2.4,2.8,3.2,3.7,4.2
1,0.1714,4.1873,0.13724,3.2,3.6,4.2,4.8,5.4
2,0.0962,5.1282,0.13,4,4.5,5.1,5.9,6.5
3,0.0402,5.8458,0.12619,4.6,5.1,5.8,6.7,7.4
4,-0.005,6.4237,0.12402,5.1,5.6,6.4,7.3,8.1
5,-0.043,6.8985,0.12274,5.5,6.1,6.9,7.8,8.7
6,-0.0756,7.297,0.12204,5.8,6.4,7.3,8.3,9.2
7,-0.1039,7.6422,0.12178,6.1,6.7,7.6,8.7,9.6
8,-0.1288,7.9487,0.12181,6.3,7,7.9,9,10
9,-0.1507,8.2254,0.12199,6.6,7.3,8.2,9.3,10.4
10,-0.17,8.48,0.12223,6.8,7.5,8.5,9.6,10.7
11,-0.1872,8.7192,0.12247,7,7.7,8.7,9.9,11
12,-0.2024,8.9481,0.12268,7.1,7.9,8.9,10.2,11.3
13,-0.2158,9.1699,0.12283,7.3,8.1,9.2,10.4,11.6
14,-0.2278,9.387,0.12294,7.5,8.3,9.4,10.7,11.9
15,-0.2384,9.6008,0.12299,7.7,8.5,9.6,10.9,12.2
16,-0.2478,9.8124,0.12303,7.8,8.7,9.8,11.2,12.5
17,-0.2562,10.0226,0.12306,8,8.8,10,11.4,12.7
18,-0.2637,10.2315,0.12309,8.2,9,10.2,11.6,13
19,-0.2703,10.4393,0.12315,8.3,9.2,10.4,11.9,13.3
20,-0.2762,10.6464,0.12323,8.5,9.4,10.6,12.1,13.5
21,-0.2815,10.8534,0.12335,8.7,9.6,10.9,12.4,13.8
22,-0.2862,11.0608,0.1235,8.8,9.8,11.1,12.6,14.1
23,-0.2903,11.2688,0.12369,9,9.9,11.3,12.8,14.3
24,-0.2941,11.4775,0.1239,9.2,10.1,11.5,13.1,14.6
