Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
24,0.941523967,86.45220101,0.040321528,79.91084447,81.99171445,84.10289217,86.45220101,88.80524943,90.92619137,93.02265441
24.5,1.00720807,86.86160934,0.040395626,80.26037074,82.36400989,84.49470553,86.86160934,89.22804829,91.35753004,93.45923029
25.5,0.837251351,87.65247282,0.040577525,81.0052937,83.11387064,85.25887745,87.65247282,90.05675457,92.22966054,94.38278047
26.5,0.681492975,88.42326434,0.040723122,81.7341574,83.84716151,86.0051731,88.42326434,90.8626041,93.07608163,95.27761711
27.5,0.538779654,89.17549228,0.040833194,82.44845648,84.56534433,86.73506945,89.17549228,91.64711353,93.89827114,96.14511823
28.5,0.407697153,89.91040853,0.040909059,83.14944982,85.26961974,87.44977223,89.91040853,92.41159029,94.69757027,96.98662531
29.5,0.286762453,90.62907762,0.040952433,83.83819399,85.96098331,88.15028421,90.62907762,93.15718995,95.47522083,97.8034532
30.5,0.174489485,91.33242379,0.04096533,84.51558277,86.64027154,88.83745411,91.33242379,93.88495599,96.23239427,98.59690538
31.5,0.069444521,92.02127167,0.040949976,85.18238019,87.30820085,89.5120186,92.02127167,94.59585394,96.97021533,99.36828331
32.5,-0.029720564,92.69637946,0.040908737,85.83925011,87.96540055,90.17463683,92.69637946,95.29079906,97.68978097,100.1188932
33.5,-0.124251789,93.35846546,0.040844062,86.48678276,88.61244073,90.82591867,93.35846546,95.97067824,98.39217521,100.8500508
34.5,-0.215288396,94.00822923,0.040758431,87.12551862,89.24985581,91.46644774,94.00822923,96.63636727,99.0784807,101.5630853
35.5,-0.30385434,94.64636981,0.040654312,87.75596799,89.87816458,92.09680119,94.64636981,97.28874542,99.74978771,102.2593402
36.5,-0.390918369,95.27359106,0.04053412,88.37863651,90.49788649,92.71755946,95.27359106,97.92869928,100.4071992,102.940182
37.5,-0.254801167,95.91474929,0.040572876,88.93297086,91.08607735,93.33440049,95.91474929,98.58524582,101.0690065,103.5982668
38.5,-0.125654535,96.54734328,0.04061691,89.47916294,91.66588835,93.94268367,96.54734328,99.23357783,101.7233762,104.2502776
39.5,-0.00316735,97.17191309,0.040666414,90.01765704,92.23778882,94.54291151,97.17191309,99.87425862,102.3708617,104.8967054
40.5,0.11291221,97.78897727,0.040721467,90.54890623,92.80224597,95.1355744,97.78897727,100.5078239,103.011988,105.5380208
41.5,0.222754969,98.3990283,0.040782045,91.07337426,93.35972283,95.72114636,98.3990283,101.1347788,103.6472524,106.1746779
42.5,0.326530126,99.00254338,0.040848042,91.59152368,93.91067749,96.30009195,99.00254338,101.7556073,104.2771267,106.8071048
43.5,0.42436156,99.599977,0.040919281,92.10382052,94.45556109,96.87286014,99.599977,102.370767,104.9020571,107.4357106
44.5,0.516353108,100.191764,0.040995524,92.6107295,94.99481672,97.43988586,100.191764,102.9806917,105.5224653,108.0608826
45.5,0.602595306,100.7783198,0.041076485,93.11271174,95.52887815,98.00158958,100.7783198,103.5857927,106.1387493,108.6829866
46.5,0.683170764,101.3600411,0.041161838,93.61022262,96.05816868,98.55837705,101.3600411,104.186459,106.7512837,109.3023669
47.5,0.758158406,101.9373058,0.041251224,94.10370972,96.58310008,99.11063889,101.9373058,104.7830584,107.3604207,109.9193463
48.5,0.827636736,102.5104735,0.041344257,94.59361093,97.1040715,99.65875031,102.5104735,105.3759377,107.9664906,110.5342263
49.5,0.891686306,103.0798852,0.041440534,95.08035263,97.62146857,100.2030707,103.0798852,105.9654232,108.569802,111.1472879
50.5,0.95039153,103.645864,0.041539635,95.56434805,98.13566246,100.7439435,103.645864,106.5518212,109.1706428,111.7587911
51.5,1.003830006,104.208713,0.041641136,96.04599748,98.64700876,101.281694,104.208713,107.1354171,109.76928,112.3689778
52.5,1.05213569,104.7687256,0.041744602,96.52567713,99.15584797,101.8166373,104.7687256,107.7164829,110.3659614,112.9780622
53.5,1.0953669,105.3261638,0.041849607,97.00375833,99.66250203,102.3490611,105.3261638,108.2952617,110.9609139,113.5862516
54.5,1.133652119,105.8812823,0.041955723,97.48058355,100.1672766,102.8792439,105.8812823,108.8719858,111.5543461,114.1937245
55.5,1.167104213,106.4343146,0.042062532,97.95647862,100.6704587,103.4074438,106.4343146,109.4468665,112.1464475,114.800644
56.5,1.195845353,106.9854769,0.042169628,98.43174768,101.1723164,103.9339016,106.9854769,110.0200973,112.7373894,115.4071549
57.5,1.220004233,107.534968,0.042276619,98.90667254,101.6730987,104.4588401,107.534968,110.5918541,113.327325,116.0133837
