Month,L,M,S,P3,P15,P50,P85,P97
0,1,34.4618,0.03686,32.1,33.1,34.5,35.8,36.9
1,1,37.2759,0.03133,35.1,36.1,37.3,38.5,39.5
2,1,39.1285,0.02997,36.9,37.9,39.1,40.3,41.3
3,1,40.5135,0.02918,38.3,39.3,40.5,41.7,42.7
4,1,41.6317,0.02868,39.4,40.4,41.6,42.9,43.9
5,1,42.5576,0.02837,40.3,41.3,42.6,43.8,44.8
6,1,43.3306,0.02817,41,42.1,43.3,44.6,45.6
7,1,43.9803,0.02804,41.7,42.7,44,45.3,46.3
8,1,44.53,0.02796,42.2,43.2,44.5,45.8,46.9
9,1,44.9998,0.02792,42.6,43.7,45,46.3,47.4
10,1,45.4051,0.0279,43,44.1,45.4,46.7,47.8
11,1,45.7573,0.02789,43.4,44.4,45.8,47.1,48.2
12,1,46.0661,0.02789,43.6,44.7,46.1,47.4,48.5
13,1,46.3395,0.02789,43.9,45,46.3,47.7,48.8
14,1,46.5844,0.02791,44.1,45.2,46.6,47.9,49
15,1,46.806,0.02792,44.3,45.5,46.8,48.2,49.3
16,1,47.0088,0.02795,44.5,45.6,47,48.4,49.5
17,1,47.1962,0.02797,44.7,45.8,47.2,48.6,49.7
18,1,47.3711,0.028,44.9,46,47.4,48.7,49.9
19,1,47.5357,0.02803,45,46.2,47.5,48.9,50
20,1,47.6919,0.02806,45.2,46.3,47.7,49.1,50.2
21,1,47.8408,0.0281,45.3,46.4,47.8,49.2,50.4
22,1,47.9833,0.02813,45.4,46.6,48,49.4,50.5
23,1,48.1201,0.02817,45.6,46.7,48.1,49.5,50.7
24,1,48.2515,0.02821,45.7,46.8,48.3,49.7,50.8
