Month,L,M,S,P3,P15,P50,P85,P97
0,1,33.8787,0.03496,31.7,32.7,33.9,35.1,36.1
1,1,36.5463,0.0321,34.3,35.3,36.5,37.8,38.8
2,1,38.2521,0.03168,36,37,38.3,39.5,40.5
3,1,39.5328,0.0314,37.2,38.2,39.5,40.8,41.9
4,1,40.5817,0.03119,38.2,39.3,40.6,41.9,43
5,1,41.459,0.03102,39,40.1,41.5,42.8,43.9
6,1,42.1995,0.03087,39.7,40.8,42.2,43.5,44.6
7,1,42.829,0.03075,40.4,41.5,42.8,44.2,45.3
8,1,43.3671,0.03063,40.9,42,43.4,44.7,45.9
9,1,43.83,0.03053,41.3,42.4,43.8,45.2,46.3
10,1,44.2319,0.03044,41.7,42.8,44.2,45.6,46.8
11,1,44.5844,0.03035,42,43.2,44.6,46,47.1
12,1,44.8965,0.03027,42.3,43.5,44.9,46.3,47.5
13,1,45.1752,0.03019,42.6,43.8,45.2,46.6,47.7
14,1,45.4265,0.03012,42.9,44,45.4,46.8,48
15,1,45.6551,0.03006,43.1,44.2,45.7,47.1,48.2
16,1,45.865,0.02999,43.3,44.4,45.9,47.3,48.5
17,1,46.0598,0.02993,43.5,44.6,46.1,47.5,48.7
18,1,46.2424,0.02987,43.6,44.8,46.2,47.7,48.8
19,1,46.4152,0.02982,43.8,45,46.4,47.8,49
20,1,46.5801,0.02977,44,45.1,46.6,48,49.2
21,1,46.7384,0.02972,44.1,45.3,46.7,48.2,49.4
22,1,46.8913,0.02967,44.3,45.4,46.9,48.3,49.5
23,1,47.0391,0.02962,44.4,45.6,47,48.5,49.7
24,1,47.1822,0.02957,44.6,45.7,47.2,48.6,49.8
