Month,L,M,S,P3,P15,P50,P85,P97
0,0.3487,3.3464,0.14602,2.5,2.9,3.3,3.9,4.3
1,0.2297,4.4709,0.13395,3.4,3.9,4.5,5.1,5.7
2,0.197,5.5675,0.12385,4.4,4.9,5.6,6.3,7
3,0.1738,6.3762,0.11727,5.1,5.6,6.4,7.2,7.9
4,0.1553,7.0023,0.11316,5.6,6.2,7,7.9,8.6
5,0.1395,7.5105,0.1108,6.1,6.7,7.5,8.4,9.2
6,0.1257,7.934,0.10958,6.4,7.1,7.9,8.9,9.7
7,0.1134,8.297,0.10902,6.7,7.4,8.3,9.3,10.2
8,0.1021,8.6151,0.10882,7,7.7,8.6,9.6,10.5
9,0.0917,8.9014,0.10881,7.2,7.9,8.9,10,10.9
10,0.082,9.1649,0.10891,7.5,8.2,9.2,10.3,11.2
11,0.073,9.4122,0.10906,7.7,8.4,9.4,10.5,11.5
12,0.0644,9.6479,0.10925,7.8,8.6,9.6,10.8,11.8
13,0.0563,9.8749,0.10949,8,8.8,9.9,11.1,12.1
14,0.0487,10.0953,0.10976,8.2,9,10.1,11.3,12.4
15,0.0413,10.3108,0.11007,8.4,9.2,10.3,11.6,12.7
16,0.0343,10.5228,0.11041,8.5,9.4,10.5,11.8,12.9
17,0.0275,10.7319,0.11079,8.7,9.6,10.7,12,13.2
18,0.0211,10.9385,0.11119,8.9,9.7,10.9,12.3,13.5
19,0.0148,11.143,0.11164,9,9.9,11.1,12.5,13.7
20,0.0087,11.3462,0.11211,9.2,10.1,11.3,12.7,14
21,0.0029,11.5486,0.11261,9.3,10.3,11.5,13,14.3
22,-0.0028,11.7504,0.11314,9.5,10.5,11.8,13.2,14.5
23,-0.0083,11.9514,0.11369,9.7,10.6,12,13.4,14.8
24,-0.0137,12.1515,0.11426,9.8,10.8,12.2,13.7,15.1
