Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
24,-0.98660853,16.42339664,0.085451785,14.1473467,14.80134054,15.52807587,16.42339664,17.42745659,18.44139317,19.56410958
24.5,-1.024496827,16.38804056,0.085025838,14.13226271,14.77964811,15.49975639,16.38804056,17.38581552,18.39526372,19.51534333
25.5,-1.102698353,16.3189719,0.084214052,14.10240814,14.73694628,15.44421901,16.3189719,17.30484811,18.30610782,19.42197989
26.5,-1.18396635,16.25207985,0.083455124,14.07297394,14.6951581,15.39014846,16.25207985,17.2269319,18.22103253,19.33410382
27.5,-1.268071036,16.18734669,0.082748284,14.04396337,14.65428696,15.33754218,16.18734669,17.15202498,18.13997016,19.25163039
28.5,-1.354751525,16.12475448,0.082092737,14.01538008,14.61433601,15.28639717,16.12475448,17.08008556,18.06285334,19.17447582
29.5,-1.443689692,16.06428762,0.081487717,13.98722569,14.57530775,15.23671134,16.06428762,17.01107457,17.98961595,19.10255392
30.5,-1.53454192,16.00593001,0.080932448,13.95950246,14.53720437,15.18848189,16.00593001,16.94495296,17.92019231,19.03577948
31.5,-1.626928093,15.94966631,0.080426175,13.93221207,14.50002752,15.14170598,15.94966631,16.88168308,17.85451773,18.97406651
32.5,-1.720434829,15.89548197,0.079968176,13.90535562,14.46377827,15.09638064,15.89548197,16.82122877,17.79252859,18.91732801
33.5,-1.814635262,15.84336179,0.079557735,13.87893492,14.42845728,15.05250203,15.84336179,16.763554,17.73416201,18.86547771
34.5,-1.909076262,15.79329146,0.079194187,13.852951,14.39406456,15.01006617,15.79329146,16.70862449,17.67935646,18.81842784
35.5,-2.003296102,15.7452564,0.078876895,13.82740517,14.36059959,14.96906838,15.7452564,16.65640663,17.62805146,18.7760905
36.5,-2.096828937,15.69924188,0.078605255,13.80229888,14.32806133,14.92950329,15.69924188,16.60686761,17.5801877,18.73837743
37.5,-2.189211877,15.65523282,0.078378696,13.77763382,14.29644823,14.89136478,15.65523282,16.55997523,17.53570705,18.70520011
38.5,-2.279991982,15.61321371,0.078196674,13.75341201,14.26575827,14.85464591,15.61321371,16.51569783,17.49455256,18.67646985
39.5,-2.368732949,15.57316843,0.078058667,13.72963586,14.23598902,14.81933896,15.57316843,16.4740041,17.45666842,18.65209796
40.5,-2.455021314,15.53508019,0.077964169,13.70630824,14.20713766,14.78543535,15.53508019,16.43486298,17.42199993,18.63199585
41.5,-2.538471972,15.49893145,0.077912684,13.68343254,14.17920105,14.75292568,15.49893145,16.39824347,17.39049347,18.61607518
42.5,-2.618732901,15.46470384,0.077903716,13.66101266,14.15217581,14.72179977,15.46470384,16.36411453,17.36209639,18.60424802
43.5,-2.695488973,15.43237817,0.077936763,13.63905306,14.12605833,14.69204668,15.43237817,16.33244497,17.33675699,18.59642696
44.5,-2.768464816,15.40193436,0.078011309,13.61755872,14.10084485,14.6636548,15.40193436,16.30320336,17.31442438,18.59252526
45.5,-2.837426693,15.37335154,0.078126817,13.59653518,14.07653151,14.63661186,15.37335154,16.27635793,17.29504843,18.59245694
46.5,-2.902178205,15.34660842,0.078282739,13.57598804,14.05311425,14.61090523,15.34660842,16.25187703,17.27857995,18.59613624
47.5,-2.962580386,15.32168181,0.078478449,13.55592455,14.03058936,14.58652134,15.32168181,16.22972719,17.2649696,18.6034803
48.5,-3.018521987,15.29854897,0.078713325,13.53635124,14.00895279,14.56344665,15.29854897,16.20987583,17.25416922,18.61440545
49.5,-3.069936555,15.27718618,0.078986694,13.51727537,13.98820066,14.54166718,15.27718618,16.19228952,17.24613088,18.62882971
50.5,-3.116795864,15.2575692,0.079297841,13.49870449,13.96832912,14.52116867,15.2575692,16.17693441,17.24080701,18.64667225
51.5,-3.159107331,15.23967338,0.079646006,13.48064637,13.94933441,14.50193674,15.23967338,16.16377626,17.23815034,18.66785338
52.5,-3.196911083,15.22347371,0.080030389,13.46310899,13.93121283,14.48395686,15.22347371,16.15278049,17.23811389,18.6922946
53.5,-3.230276759,15.20894491,0.080450145,13.44610041,13.91396079,14.46721445,15.20894491,16.14391221,17.24065086,18.71991859
54.5,-3.259300182,15.19606152,0.080904391,13.42962877,13.89757474,14.45169495,15.19606152,16.13713628,17.24571467,18.75064919
55.5,-3.284099963,15.18479799,0.081392203,13.41370222,13.88205123,14.4373838,15.18479799,16.13241736,17.25325891,18.78441142
56.5,-3.30481415,15.17512871,0.081912623,13.39832882,13.8673869,14.42426656,15.17512871,16.12971996,17.2632373,18.82113141
57.5,-3.321596954,15.16702811,0.082464661,13.38351658,13.8535784,14.41232886,15.16702811,16.12900854,17.27560372,18.86073644
58.5,-3.334615646,15.16047068,0.083047295,13.36927334,13.84062247,14.40155647,15.16047068,16.13024748,17.29031217,18.90315485
