Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
24,-0.20615245,12.6707633,0.108125811,10.38209025,11.05265567,11.78597528,12.6707633,13.63691949,14.58339799,15.59648294
24.5,-0.216501213,12.74154396,0.108166006,10.4414422,11.11490406,11.85181666,12.74154396,13.71386029,14.6671577,15.68840631
25.5,-0.239790488,12.88102276,0.108274706,10.55847309,11.23747341,11.98141892,12.88102276,13.86589625,14.83331632,15.87169941
26.5,-0.266315853,13.01842382,0.108421025,10.67380261,11.35805876,12.10888759,13.01842382,14.0162298,14.99847794,16.05514188
27.5,-0.295754969,13.1544966,0.10860477,10.78798157,11.47727994,12.23490671,13.1544966,14.1656725,15.16351231,16.23967114
28.5,-0.327729368,13.28989667,0.108825681,10.90147346,11.59566994,12.36007175,13.28989667,14.31493214,15.32917196,16.42608957
29.5,-0.361817468,13.42519408,0.109083424,11.01466395,11.7136834,12.48489772,13.42519408,14.46462206,15.49610261,16.61507584
30.5,-0.397568087,13.56088113,0.109377581,11.12786972,11.83170451,12.60982671,13.56088113,14.61526973,15.66485286,16.80719583
31.5,-0.434520252,13.69737858,0.109707646,11.24134752,11.95005435,12.73523417,13.69737858,14.76732387,15.83588309,17.00291386
32.5,-0.472188756,13.83504622,0.110073084,11.3552982,12.06899744,12.86143776,13.83504622,14.9211657,16.00957526,17.2025984
33.5,-0.510116627,13.97418299,0.110473254,11.46987889,12.18874828,12.98869962,13.97418299,15.07711012,16.18623907,17.40653734
34.5,-0.547885579,14.1150324,0.1109074,11.58520959,12.30947723,13.11723187,14.1150324,15.23541179,16.36611917,17.61494698
35.5,-0.58507011,14.25779618,0.111374787,11.70137143,12.43131521,13.24720657,14.25779618,15.3962791,16.54940494,17.8279717
36.5,-0.621319726,14.40262749,0.111874514,11.81842214,12.55435953,13.37875374,14.40262749,15.5598683,16.73623287,18.04570363
37.5,-0.656295986,14.54964614,0.112405687,11.93639129,12.67867752,13.51197197,14.54964614,15.72629889,16.92669619,18.26817893
38.5,-0.689735029,14.69893326,0.112967254,12.05529277,12.80431149,13.64692711,14.69893326,15.89564892,17.12084685,18.49539445
39.5,-0.721410388,14.85054151,0.11355811,12.17512305,12.93128204,13.78365965,14.85054151,16.06796532,17.31870281,18.72730763
40.5,-0.751175223,15.00449143,0.114176956,12.29587074,13.05959214,13.92218431,15.00449143,16.24326063,17.52024974,18.96385009
41.5,-0.778904279,15.16078454,0.114822482,12.41751102,13.18922941,14.06249859,15.16078454,16.4215262,17.72544898,19.20492292
42.5,-0.804515498,15.31940246,0.115493292,12.54001161,13.32016918,14.2045836,15.31940246,16.60273167,17.93423997,19.45040584
43.5,-0.828003255,15.48030313,0.116187777,12.66334091,13.45237788,14.34840318,15.48030313,16.78682117,18.14654091,19.70016918
44.5,-0.849380372,15.64343309,0.116904306,12.78746137,13.5858142,14.49391163,15.64343309,16.97372594,18.36225594,19.95406774
45.5,-0.86869965,15.80872535,0.117641148,12.91233523,13.72043155,14.64105343,15.80872535,17.16336229,18.58127627,20.21194963
46.5,-0.886033992,15.97610456,0.118396541,13.03792328,13.85617947,14.78976688,15.97610456,17.3556371,18.80348418,20.47365655
47.5,-0.901507878,16.14548194,0.119168555,13.16419231,13.99300607,14.93998212,16.14548194,17.55044259,19.02875229,20.73903469
48.5,-0.915241589,16.31676727,0.11995532,13.29110715,14.13085804,15.0916281,16.31676727,17.74766896,19.25695041,21.00792648
49.5,-0.927377772,16.4898646,0.120754916,13.41863676,14.26968247,15.24463077,16.4898646,17.94720007,19.48794495,21.28017953
50.5,-0.938069819,16.66467529,0.121565421,13.54675344,14.40942768,15.39891519,16.66467529,18.14891672,19.72160147,21.55564717
51.5,-0.94747794,16.84109948,0.122384927,13.67543322,14.55004391,15.55440665,16.84109948,18.35269841,19.95778649,21.83419011
